point_id,latitude,longitude,elevation_m,elevation_smoothed_m,distance_from_start_m,segment_length_m,elevation_delta_m,slope_pct,slope_deg,slope_smoothed_pct,bearing_deg
52,43.13312065,131.90161787,56.683,55.966,2600,50,-0.317,-0.6338,-0.36314,-1.51374,86.436
53,43.1331432,131.90223326,55.146,54.353,2650,50,-1.537,-3.07441,-1.76095,-3.22619,87.126
54,43.13316457,131.90284873,54.0,52.63,2700,50,-1.146,-2.29179,-1.31287,-3.44582,87.276
55,43.13318249,131.9034644,48.935,50.802,2750,50,-5.065,-10.13096,-5.78488,-3.65646,87.715
56,43.13320335,131.90407991,48.385,48.861,2800,50,-0.549,-1.09814,-0.62916,-3.8807,87.34
57,43.13322458,131.90469539,47.542,46.73,2850,50,-0.843,-1.687,-0.96649,-4.26147,87.294
58,43.13324556,131.90531089,45.444,45.343,2900,50,-2.098,-4.19564,-2.40251,-2.77548,87.326
59,43.13326654,131.90592639,43.346,43.866,2950,50,-2.098,-4.19564,-2.40251,-2.95418,87.326
60,43.13328306,131.90654214,41.996,42.557,3000,50,-1.35,-2.70099,-1.54718,-2.61678,87.895
61,43.13329965,131.90715788,41.0,39.988,3050,50,-0.996,-1.99164,-1.14098,-5.1381,87.885
62,43.13332058,131.90777339,41.0,36.2,3100,50,0.0,0.0,0.0,-7.57698,87.332
63,43.13333825,131.90838908,32.599,32.316,3150,50,-8.401,-16.80223,-9.53788,-7.7666,87.747
64,43.13334011,131.90900512,24.404,28.516,3200,50,-8.195,-16.39003,-9.30804,-7.6,89.763
65,43.13329719,131.90961655,22.579,24.716,3250,50,-1.825,-3.6491,-2.08986,-7.6,95.493
66,43.1331874,131.91020801,22.0,22.028,3300,50,-0.579,-1.15864,-0.66382,-5.37751,104.272
67,43.13303193,131.91078338,22.0,20.817,3350,50,0.0,0.0,0.0,-2.421,110.318
68,43.13292111,131.91138039,19.155,20.301,3400,50,-2.845,-5.68979,-3.2565,-1.03173,104.271
69,43.13281433,131.91197884,18.351,19.581,3450,50,-0.804,-1.60749,-0.92094,-1.44097,103.738
70,43.13274339,131.91258507,20.0,18.751,3500,50,1.649,3.29728,1.88852,-1.65993,99.11
71,43.13305227,131.9122142,18.398,18.444,3550,50,-1.602,-3.20485,-1.83561,-0.61334,318.774
72,43.13340795,131.91183855,17.85,18.26,3600,50,-0.547,-1.09483,-0.62726,-0.36934,322.377
73,43.13381203,131.91157667,17.622,17.712,3650,50,-0.228,-0.45681,-0.26173,-1.09499,334.688
74,43.13425223,131.91146004,17.428,17.452,3700,50,-0.194,-0.3875,-0.22202,-0.52021,349.057
75,43.13469868,131.91138657,17.263,17.268,3750,50,-0.165,-0.33095,-0.18962,-0.36698,353.152
76,43.13514514,131.91131309,17.097,16.981,3800,50,-0.165,-0.33095,-0.18962,-0.57462,353.152
77,43.13557386,131.91115764,16.933,16.554,3850,50,-0.164,-0.32868,-0.18832,-0.85498,345.179
78,43.13601221,131.91105067,16.185,15.98,3900,50,-0.748,-1.495,-0.85651,-1.14666,349.903
79,43.13645933,131.91098518,15.291,15.261,3950,50,-0.895,-1.78934,-1.0251,-1.43834,353.899
80,43.13690644,131.91091968,14.396,14.396,4000,50,-0.895,-1.78934,-1.0251,-1.73047,353.899
81,43.13735355,131.91085419,13.501,13.501,4050,50,-0.895,-1.78934,-1.0251,-1.78934,353.898
82,43.13780067,131.91078869,12.607,12.607,4100,50,-0.895,-1.78934,-1.0251,-1.78934,353.898
83,43.13824778,131.91072319,11.712,11.712,4150,50,-0.895,-1.78934,-1.0251,-1.78934,353.898
84,43.13869489,131.91065769,10.817,10.817,4200,50,-0.895,-1.78934,-1.0251,-1.78934,353.898
85,43.139142,131.91059219,9.923,9.92,4250,50,-0.895,-1.78934,-1.0251,-1.79479,353.898
86,43.13958912,131.91052668,9.028,9.095,4300,50,-0.895,-1.78934,-1.0251,-1.64949,353.898
87,43.14003233,131.91042495,8.12,8.38,4350,50,-0.908,-1.81663,-1.04074,-1.43019,350.491
88,43.14046382,131.91025648,7.588,7.862,4400,50,-0.531,-1.06282,-0.60893,-1.03642,344.098
89,43.14086761,131.90998929,7.242,7.6,4450,50,-0.346,-0.69283,-0.39696,-0.52413,334.228
90,43.14125157,131.90966958,7.331,7.576,4500,50,0.09,0.17951,0.10285,-0.04783,328.719
91,43.14162776,131.90933199,7.718,7.746,4550,50,0.386,0.77211,0.44238,0.34067,326.784
92,43.14200675,131.90900056,8.0,8.143,4600,50,0.282,0.56491,0.32367,0.79358,327.458
93,43.14238216,131.90866227,8.44,8.687,4650,50,0.44,0.87965,0.50399,1.08777,326.675
94,43.14274875,131.90830539,9.226,9.33,4700,50,0.786,1.57175,0.90047,1.28738,324.613
95,43.14310812,131.90793551,10.051,10.095,4750,50,0.825,1.65043,0.94554,1.52844,323.094
96,43.14345648,131.90754585,10.936,10.948,4800,50,0.885,1.77019,1.01414,1.70655,320.781
97,43.14380485,131.90715618,11.821,11.821,4850,50,0.885,1.77019,1.01414,1.74624,320.781
98,43.14415321,131.90676651,12.706,12.66,4900,50,0.885,1.77019,1.01414,1.67759,320.78
99,43.14450157,131.90637684,13.591,13.481,4950,50,0.885,1.77019,1.01414,1.64317,320.78
100,43.14489383,131.90607933,14.245,14.09,5000,50,0.654,1.3072,0.74893,1.21786,331.041
101,43.14532672,131.90592932,15.044,14.418,5050,50,0.799,1.59809,0.91556,0.65448,345.811
102,43.14577483,131.90590538,14.866,14.407,5100,50,-0.178,-0.35639,-0.2042,-0.02163,357.768
103,43.14622405,131.90593169,14.342,14.104,5150,50,-0.523,-1.04667,-0.59968,-0.60514,2.447
104,43.14667214,131.90598322,13.537,13.555,5200,50,-0.805,-1.61037,-0.92259,-1.09813,4.796
105,43.14712022,131.90603475,12.732,13.007,5250,50,-0.805,-1.61037,-0.92259,-1.09586,4.796
106,43.14756759,131.9060963,12.299,12.539,5300,50,-0.433,-0.86684,-0.49665,-0.93696,5.732
107,43.14801446,131.90616488,12.126,12.231,5350,50,-0.173,-0.34507,-0.19771,-0.61489,6.389
108,43.14845865,131.90625422,12.0,13.32,5400,50,-0.126,-0.25215,-0.14447,2.17748,8.347
109,43.14889558,131.90639986,12.0,15.043,5450,50,0.0,0.0,0.0,3.44528,13.669
110,43.14933167,131.90655011,18.176,17.393,5500,50,6.176,12.35149,7.04122,4.69988,14.11
111,43.14976116,131.9067318,20.912,20.389,5550,50,2.736,5.47212,3.13217,5.99316,17.152
112,43.1501572,131.90702207,23.876,24.007,5600,50,2.964,5.92792,3.39248,7.236,28.134
113,43.15055069,131.90732035,26.983,27.012,5650,50,3.107,6.21424,3.55592,6.00855,28.944
114,43.15094419,131.90761863,30.09,29.596,5700,50,3.107,6.21424,3.55592,5.16971,28.944
115,43.15133768,131.90791692,33.197,31.293,5750,50,3.107,6.21424,3.55592,3.3932,28.944
116,43.15172953,131.9082192,33.836,32.185,5800,50,0.639,1.27789,0.73214,1.78314,29.37
117,43.15211824,131.90852905,32.359,32.485,5850,50,-1.477,-2.95459,-1.69237,0.60176,30.18
118,43.15250657,131.90883981,31.441,32.394,5900,50,-0.918,-1.83606,-1.05187,-0.18377,30.276
119,43.1528951,131.90915008,31.594,32.173,5950,50,0.154,0.30732,0.17608,-0.44015,30.225
120,43.15328382,131.90945992,32.738,32.18,6000,50,1.143,2.28659,1.30989,0.01357,30.177
121,43.15367325,131.90976807,32.736,32.302,6050,50,-0.002,-0.004,-0.00229,0.24359,29.997
122,43.15406288,131.91007574,32.393,31.89,6100,50,-0.343,-0.68598,-0.39303,-0.82468,29.943
123,43.15445252,131.9103834,32.05,30.742,6150,50,-0.343,-0.68598,-0.39303,-2.29508,29.944
124,43.15484603,131.91068164,29.533,29.595,6200,50,-2.517,-5.03402,-2.88185,-2.29428,28.937
125,43.15524272,131.91097111,27.0,27.539,6250,50,-2.533,-5.06542,-2.89979,-4.11168,28.029
126,43.15566401,131.91118458,27.0,24.562,6300,50,0.0,0.0,0.0,-5.95362,20.286
127,43.15610673,131.9112909,22.114,21.713,6350,50,-4.886,-9.77297,-5.58177,-5.69907,9.936
128,43.15655177,131.91137884,17.166,18.994,6400,50,-4.948,-9.89569,-5.65141,-5.43824,8.203
129,43.15699755,131.91145964,15.285,16.0,6450,50,-1.881,-3.76127,-2.15404,-5.98705,7.532
130,43.15744333,131.91154044,13.404,13.786,6500,50,-1.881,-3.76127,-2.15404,-4.42922,7.532
131,43.15788802,131.91163141,12.032,12.474,6550,50,-1.372,-2.74407,-1.57184,-2.6235,8.487
132,43.15833189,131.91172998,11.04,11.456,6600,50,-0.992,-1.98379,-1.13648,-2.03516,9.201
133,43.15877334,131.9118472,10.607,10.775,6650,50,-0.434,-0.86707,-0.49678,-1.36176,10.963
134,43.15921468,131.91196522,10.197,10.218,6700,50,-0.41,-0.81958,-0.46957,-1.11488,11.038
135,43.15965674,131.91207795,10.0,9.413,6750,50,-0.197,-0.39428,-0.22591,-1.61085,10.538
136,43.16009613,131.91220818,9.245,8.776,6800,50,-0.755,-1.50965,-0.8649,-1.27313,12.199
137,43.16053413,131.91234767,7.013,8.735,6850,50,-2.232,-4.46366,-2.55579,-0.08138,13.078
138,43.16096976,131.91250001,7.424,8.633,6900,50,0.411,0.82151,0.47068,-0.2052,14.31
139,43.16140337,131.91266319,9.994,8.58,6950,50,2.57,5.13917,2.94194,-0.10594,15.35
140,43.16183432,131.9128392,9.487,8.872,7000,50,-0.507,-1.01336,-0.58059,0.58412,16.589
141,43.16226526,131.9130152,8.98,9.004,7050,50,-0.507,-1.01336,-0.58059,0.26381,16.589
142,43.1626962,131.9131912,8.474,8.609,7100,50,-0.507,-1.01336,-0.58059,-0.78896,16.589
143,43.16312794,131.9133634,8.084,8.312,7150,50,-0.39,-0.78003,-0.44692,-0.5948,16.221
144,43.1635619,131.91352489,8.021,7.516,7200,50,-0.062,-0.1247,-0.07145,-1.59213,15.186
145,43.16399314,131.91369926,8.0,6.821,7250,50,-0.021,-0.04256,-0.02438,-1.38946,16.433
146,43.16442456,131.91387293,5.0,6.463,7300,50,-3.0,-6.0,-3.43363,-0.71589,16.363
147,43.16485919,131.91403098,5.0,6.51,7350,50,0.0,0.0,0.0,0.09353,14.855
148,43.1652989,131.91415794,6.294,6.953,7400,50,1.294,2.58781,1.48238,0.88683,11.893
149,43.16573229,131.91432176,8.255,8.389,7450,50,1.961,3.92237,2.2462,2.87163,15.414
150,43.16616517,131.91448862,10.217,10.217,7500,50,1.962,3.92399,2.24713,3.65643,15.703
151,43.16659805,131.91465548,12.179,12.179,7550,50,1.962,3.92399,2.24713,3.92367,15.703
152,43.16703092,131.91482234,14.141,14.141,7600,50,1.962,3.92399,2.24713,3.92399,15.703
153,43.1674638,131.9149892,16.103,16.103,7650,50,1.962,3.92399,2.24713,3.92399,15.703
154,43.16789668,131.91515606,18.065,18.065,7700,50,1.962,3.92399,2.24713,3.92399,15.703
155,43.16832956,131.91532293,20.027,20.027,7750,50,1.962,3.92399,2.24713,3.92399,15.703
156,43.16876243,131.9154898,21.989,21.989,7800,50,1.962,3.92399,2.24713,3.92399,15.704
157,43.16919531,131.91565667,23.951,24.2,7850,50,1.962,3.92399,2.24713,4.42186,15.704
158,43.16962818,131.91582355,25.913,26.575,7900,50,1.962,3.92399,2.24713,4.75031,15.704
159,43.17005877,131.91600079,29.12,28.862,7950,50,3.207,6.41333,3.66954,4.57367,16.71
160,43.17047897,131.9162196,31.903,31.522,8000,50,2.783,5.56627,3.18595,5.31946,20.796
161,43.17090626,131.91641143,33.423,34.176,8050,50,1.52,3.04076,1.74169,5.30812,18.13
162,43.17133656,131.91658984,37.25,36.575,8100,50,3.826,7.65293,4.37628,4.79892,16.825
163,43.17176912,131.91675826,39.183,38.805,8150,50,1.934,3.86731,2.2147,4.45913,15.852
164,43.17220167,131.91692668,41.117,41.117,8200,50,1.934,3.86731,2.2147,4.62444,15.852
165,43.17263423,131.91709511,43.051,43.201,8250,50,1.934,3.86731,2.2147,4.16782,15.852
166,43.17306679,131.91726353,44.984,45.229,8300,50,1.934,3.86731,2.2147,4.05639,15.853
167,43.1735014,131.91742127,47.669,46.696,8350,50,2.685,5.36987,3.07375,2.93301,14.826
168,43.17393796,131.91756901,49.324,48.04,8400,50,1.655,3.31015,1.89588,2.6896,13.864
169,43.17437382,131.91772062,48.45,49.264,8450,50,-0.875,-1.7496,-1.00235,2.4462,14.234
170,43.17480957,131.91787279,49.775,50.215,8500,50,1.325,2.65029,1.51815,1.90228,14.288
171,43.17524532,131.91802496,51.1,51.1,8550,50,1.325,2.65029,1.51815,1.77031,14.288
172,43.17568107,131.91817713,52.425,52.21,8600,50,1.325,2.65029,1.51815,2.22019,14.288
173,43.17611682,131.9183293,53.75,53.655,8650,50,1.325,2.65029,1.51815,2.89014,14.288
174,43.17655617,131.91846016,54.0,55.57,8700,50,0.25,0.49981,0.28637,3.8306,12.255
175,43.17699456,131.91859715,57.0,58.095,8750,50,3.0,6.0,3.43363,5.04857,12.837
176,43.17743108,131.91874512,60.676,60.393,8800,50,3.676,7.35261,4.20517,4.59656,13.885
177,43.17786747,131.91889373,65.046,62.68,8850,50,4.37,8.74015,4.99504,4.57465,13.946
178,43.17830279,131.91904826,65.241,64.407,8900,50,0.195,0.39024,0.22359,3.45269,14.513
179,43.1787381,131.91920279,65.437,65.437,8950,50,0.195,0.39024,0.22359,2.06022,14.514
180,43.17917341,131.91935733,65.632,65.57,9000,50,0.195,0.39024,0.22359,0.26697,14.514
181,43.17960872,131.91951187,65.827,65.522,9050,50,0.195,0.39024,0.22359,-0.0966,14.514
182,43.18004451,131.9196636,65.714,65.434,9100,50,-0.113,-0.22611,-0.12955,-0.17465,14.246
183,43.18048139,131.91980921,65.0,65.079,9150,50,-0.714,-1.4276,-0.8179,-0.71124,13.661
184,43.1809172,131.91996108,65.0,64.41,9200,50,0.0,0.0,0.0,-1.33735,14.258
185,43.18135607,131.92009522,63.854,63.45,9250,50,-1.146,-2.29274,-1.31342,-1.92108,12.564
186,43.18179418,131.92023379,62.483,62.317,9300,50,-1.37,-2.74029,-1.56968,-2.26451,12.987
187,43.18223004,131.92038537,60.911,60.917,9350,50,-1.572,-3.14477,-1.80122,-2.8,14.229
188,43.18266591,131.92053695,59.339,60.414,9400,50,-1.572,-3.14477,-1.80122,-1.00638,14.229
189,43.18310221,131.92068602,58.0,60.691,9450,50,-1.339,-2.67743,-1.53369,0.55321,13.99
190,43.18354076,131.9208222,61.338,61.004,9500,50,3.338,6.67534,3.81902,0.62671,12.758
191,43.18398146,131.92094398,63.867,61.507,9550,50,2.529,5.05767,2.89537,1.00492,11.392
192,43.18442632,131.92101822,62.478,62.261,9600,50,-1.389,-2.77726,-1.59084,1.50813,6.938
193,43.18487596,131.92102449,61.851,62.404,9650,50,-0.627,-1.25374,-0.7183,0.28668,0.582
194,43.18532559,131.92102262,61.77,62.119,9700,50,-0.081,-0.16137,-0.09246,-0.5696,359.826
195,43.18577522,131.92101532,62.054,62.23,9750,50,0.284,0.56812,0.32551,0.22141,359.321
196,43.18622457,131.92101708,62.443,62.5,9800,50,0.388,0.77626,0.44476,0.5396,0.164
197,43.18666604,131.92112579,63.031,62.772,9850,50,0.589,1.17779,0.67479,0.54457,10.179
198,43.18709511,131.92130266,63.2,63.808,9900,50,0.169,0.33719,0.19319,2.07151,16.729
199,43.18748813,131.92159762,63.132,65.782,9950,50,-0.068,-0.13652,-0.07822,3.94798,28.688
200,43.18783908,131.92198265,67.233,68.654,10000,50,4.101,8.20286,4.68939,5.74415,38.657
201,43.18818572,131.92237547,72.312,72.482,10050,50,5.079,10.1586,5.80055,7.65625,39.564
202,43.18853237,131.92276829,77.392,76.097,10100,50,5.079,10.1586,5.80055,7.22984,39.565
203,43.18887271,131.92317129,82.341,77.822,10150,50,4.949,9.8977,5.65255,3.45023,40.805
204,43.18921382,131.92357309,81.206,79.219,10200,50,-1.134,-2.26854,-1.29955,2.79432,40.657
205,43.18956208,131.9239629,75.859,80.013,10250,50,-5.348,-10.69523,-6.10471,1.58771,39.217
206,43.18992286,131.92433101,79.298,80.193,10300,50,3.44,6.87907,3.93522,0.36046,36.645
207,43.19031071,131.9246421,81.361,80.976,10350,50,2.063,4.12556,2.36243,1.56645,30.319
208,43.19070213,131.92494566,83.242,83.07,10400,50,1.881,3.76143,2.15412,4.18615,29.485
209,43.19109355,131.92524922,85.122,84.964,10450,50,1.881,3.76143,2.15412,3.7885,29.485
210,43.19147405,131.92557658,86.324,87.157,10500,50,1.202,2.40327,1.37671,4.38701,32.098
211,43.19180493,131.92598878,88.77,89.496,10550,50,2.445,4.89082,2.8,4.67798,42.247
212,43.19206144,131.92649398,92.329,91.034,10600,50,3.559,7.1181,4.0715,3.07625,55.146
213,43.19227136,131.92703703,94.937,91.84,10650,50,2.608,5.21629,2.98601,1.61139,62.066
214,43.19242261,131.92761716,92.813,91.686,10700,50,-2.124,-4.24724,-2.43203,-0.30781,70.323
215,43.19253834,131.92821315,90.353,91.172,10750,50,-2.461,-4.92101,-2.81726,-1.02858,75.085
216,43.19265332,131.92880939,88.0,90.67,10800,50,-2.353,-4.70519,-2.69389,-1.00422,75.184
217,43.19275126,131.92941135,89.757,91.123,10850,50,1.757,3.51424,2.01268,0.90669,77.419
218,43.19284887,131.93001342,92.426,92.516,10900,50,2.669,5.33813,3.05562,2.7858,77.462
219,43.19294617,131.93061557,95.08,94.829,10950,50,2.654,5.30731,3.03801,4.62509,77.503
220,43.19303515,131.93122015,97.317,97.252,11000,50,2.237,4.47452,2.562,4.84661,78.588
221,43.19312273,131.93182509,99.563,99.073,11050,50,2.246,4.49127,2.57158,3.643,78.767
222,43.19319956,131.9324328,101.874,99.792,11100,50,2.311,4.62182,2.64623,1.43731,80.163
223,43.19327569,131.93304067,101.534,100.072,11150,50,-0.34,-0.67991,-0.38955,0.56018,80.252
224,43.19335116,131.9336487,98.673,99.799,11200,50,-2.861,-5.72118,-3.27442,-0.5453,80.338
225,43.19341349,131.93425948,98.718,98.676,11250,50,0.044,0.0889,0.05093,-2.2473,82.031
226,43.19347408,131.93487063,98.199,97.802,11300,50,-0.518,-1.03614,-0.59364,-1.74733,82.256
227,43.193535,131.93548172,96.255,97.769,11350,50,-1.944,-3.88818,-2.22664,-0.06646,82.214
228,43.19359601,131.9360928,97.165,98.294,11400,50,0.91,1.81994,1.04263,1.04972,82.202
229,43.19365703,131.93670387,98.507,99.254,11450,50,1.342,2.68319,1.53698,1.92021,82.201
230,43.19375528,131.93730395,101.342,100.581,11500,50,2.835,5.66977,3.24507,2.65432,77.342
231,43.19392189,131.93787483,103.0,101.681,11550,50,1.658,3.31633,1.89942,2.1994,68.183
232,43.19413289,131.93841878,102.891,102.863,11600,50,-0.109,-0.21761,-0.12468,2.36372,61.983
233,43.19436252,131.93894908,102.664,104.031,11650,50,-0.227,-0.45471,-0.26053,2.3358,59.292
234,43.19462419,131.93944957,104.416,106.226,11700,50,1.752,3.50483,2.0073,4.39108,54.353
235,43.19489882,131.93993796,107.181,109.803,11750,50,2.765,5.53016,3.16532,7.15314,52.357
236,43.19518072,131.94041849,113.978,113.62,11800,50,6.796,13.59271,7.74061,7.63377,51.176
237,43.19546263,131.94089902,120.774,117.241,11850,50,6.796,13.59271,7.74061,7.24241,51.176
238,43.19574101,131.94138341,121.748,120.464,11900,50,0.974,1.94845,1.11624,6.44598,51.75
239,43.19601926,131.94186793,122.522,122.482,11950,50,0.774,1.54801,0.88687,4.03704,51.77
240,43.19629752,131.94235245,123.296,123.296,12000,50,0.774,1.54801,0.88687,1.6281,51.771
241,43.19657577,131.94283698,124.07,124.04,12050,50,0.774,1.54801,0.88687,1.48721,51.771
242,43.19685402,131.94332152,124.844,125.039,12100,50,0.774,1.54801,0.88687,1.99729,51.771
243,43.19711709,131.94382159,125.466,126.292,12150,50,0.622,1.24404,0.71275,2.50737,54.185
244,43.19737677,131.94432515,127.516,127.704,12200,50,2.049,4.0984,2.3469,2.82295,54.725
245,43.19763645,131.94482872,129.565,128.982,12250,50,2.049,4.0984,2.3469,2.55748,54.725
246,43.19789472,131.94533363,131.128,130.159,12300,50,1.563,3.12592,1.79043,2.35279,54.943
247,43.19814881,131.94584253,131.238,130.992,12350,50,0.11,0.22063,0.12641,1.66723,55.593
248,43.1984029,131.94635144,131.348,131.48,12400,50,0.11,0.22063,0.12641,0.97412,55.593
249,43.19866332,131.9468542,131.684,130.254,12450,50,0.335,0.67057,0.3842,-2.45137,54.604
250,43.19892833,131.94735251,132.0,128.969,12500,50,0.316,0.63285,0.36259,-2.56967,53.887
251,43.19919132,131.9478528,124.999,127.325,12550,50,-7.001,-14.00154,-7.97047,-3.28799,54.204
252,43.19951026,131.94828763,124.814,124.821,12600,50,-0.185,-0.37085,-0.21248,-5.00745,44.824
253,43.19985626,131.94868127,123.128,121.804,12650,50,-1.685,-3.37097,-1.9307,-6.03478,39.67
254,43.20022339,131.94903607,119.165,119.339,12700,50,-3.963,-7.92674,-4.53221,-4.92945,35.164
255,43.20063307,131.94928897,116.913,116.272,12750,50,-2.252,-4.5038,-2.57875,-6.13438,24.228
256,43.20105913,131.94948621,112.676,113.076,12800,50,-4.237,-8.47488,-4.84417,-6.39167,18.647
257,43.20149725,131.94962266,109.478,109.868,12850,50,-3.198,-6.3955,-3.65937,-6.41537,12.791
258,43.20194402,131.94969253,107.149,106.247,12900,50,-2.329,-4.65742,-2.66658,-7.24317,6.503
259,43.20239324,131.94970226,103.127,102.608,12950,50,-4.023,-8.04527,-4.59969,-7.27676,0.905
260,43.2028429,131.94970138,98.805,98.731,13000,50,-4.321,-8.64281,-4.93969,-7.75533,359.919
261,43.20329256,131.9497005,94.484,94.42,13050,50,-4.321,-8.64281,-4.93969,-8.62084,359.919
262,43.20374221,131.94969692,90.09,90.016,13100,50,-4.394,-8.78832,-5.02243,-8.80878,359.668
263,43.20419184,131.94968969,85.597,85.871,13150,50,-4.492,-8.98497,-5.13422,-8.29045,359.328
264,43.20464147,131.94968246,81.105,81.949,13200,50,-4.492,-8.98497,-5.13422,-7.84327,359.328
265,43.2050909,131.9496637,78.079,78.077,13250,50,-3.026,-6.05118,-3.46285,-7.74356,358.257
266,43.20554038,131.94964823,74.876,74.275,13300,50,-3.203,-6.40691,-3.66588,-7.60452,358.563
267,43.20599002,131.94964342,70.731,70.542,13350,50,-4.145,-8.28978,-4.73886,-7.46549,359.553
